Key,Id,English(en),Portuguese(pt),Russian(ru),Spanish(es)
"v0.3.5/Desc",11114508562432,"- A menu has been added to select a level you have completed.
- An ""Ultra"" graphical option has been added for PC.
- A button has been added to open our Ko-Fi in main menu and the credits in case you want to make a donation.
- Optimized all models, textures, animations, and sounds.
- Optimized file size.
- The game will no longer load the ""Pre Main Menu"" but will go directly to the ""Main Menu"".
- The game will now detect if the player has found any ""Easter Eggs"" and will warn them that clicking ""New Game"" will reset all progress.
- Settings are now loaded immediately upon starting the game.
- The rarest achievements will now appear first in the achievements menu.
- The game will now unload unnecessary assets when loading a level.
- Clicking ""New Game"" will now reset the ""Easter Eggs"".
- The credits menu has been changed.
- The position of the level 3 flashlight on Android has been adjusted.
- The lighting color has been improved.
- All texture encoding has been changed to ETC2 for better compatibility on Android.
- The textures for the golden versions have been completely changed.
- Cinematic quality on Android has been improved.
- Reduced game's RAM, CPU, and GPU consumption.
- The ""Screen Scaling"" option has been removed since we have a configuration for each quality on Android.
- The buttons on the main menu have been reorganized.
- Unnecessary files, garbage, and plugins have been removed.
- Loading screen tips have been removed.
- Loading screens have been changed.
- Emissive textures have been enabled for Android.
- The player's camera position has been readjusted in some ""Jumpscares"".
- Fixed an error that caused the game to crash when clicking ""New Game"".
- Fixed an error that prevented settings from being applied correctly.
- Fixed an error that caused a small distortion after finishing a sound.
- Fixed an error when checking for the latest version.
- Fixed interactions with the level 1 poles that could be touched during the cinematic.",,,"- Se ha añadido un menú para seleccionar un nivel que hayas completado.
- Se ha añadido una opción gráfica ""Ultra"" para PC.
- Se ha añadido un botón para abrir nuestro Ko-Fi en el menu principal y en los créditos por si nos queréis hacer una donación.
- Optimizado todos los modelos, texturas, animaciones y sonidos.
- Optimizado tamaño de los archivos.
- El juego ya no cargará el ""Pre Main Menu"" sino que irá directo al ""Menu Princiapl"".
- El juego ahora detectará si el jugador ha hecho algún ""Easter Egg"" y le avisará que al dar clic en ""Nueva Partida"" se restablecerá todo el progreso.
- Ahora los ajustes se cargan nada más iniciar el juego.
- Ahora los logros más raros aparecerán primero en el menú de logros.
- Ahora el juego descargará los ""Assets"" innecesarios al cargar algún nivel.
- Ahora, al darle a ""Nueva Partida"" reiniciará los ""Easter Eggs"".
- Se ha cambiado el menú de los créditos.
- Se ha cambiado toda la codificación de las texturas a ETC2 para una mejor compatibilidad en Android.
- Se ha cambiado por completo las texturas de las versiones doradas.
- Se ha mejorado la calidad de las cinemáticas en Android.
- Se ha ajustado la posición de la linterna del nivel 3 en Android.
- Se ha mejorado el color de la iluminación.
- Se ha reducido el consumo de RAM, CPU y GPU del juego.
- Se ha eliminado la opción de ""Escalado de pantalla"" ja que tenemos una configuración para cada calidad en Android.
- Se ha reorganizado los botones del menú principal.
- Se han eliminado archivos, basura y plug-ins innecesarios.
- Se han eliminado los consejos de las pantallas de carga.
- Se han cambiado las pantallas de carga.
- Se han activado las texturas emisivas para Android.
- Se han reajustado la posición de la cámara del jugador en algunos ""Jumpscares"".
- Arreglado error el cual crasheaba a la hora de darle a ""Nueva Partida"".
- Arreglado error el cual provocaba que no se aplicaran correctamente las configuraciones.
- Arreglado error el cual provocaba que al terminar algún sonido se escuchara una pequeña distorsión.
- Arreglado error a la hora de comprobar la versión más reciente.
- Arregladas iteraciones con los postes del nivel 1 los cuales podías tocar durante la cinemática."
"v0.3.6/Title",11117461352448,"v0.3.6","v0.3.6","v0.3.6","v0.3.6"
"v0.3.6/Desc",11119944380416,"- An option has been added on Android to enable 60 FPS, but we want to warn that this option may cause crashes on certain devices.
- Ko-Fi donors have been added to the credits (Many thanks to Momo for the support <3).
- The default FPS limit on Android has been set to 30 FPS. This is because certain crashes are caused by the high game consumption, and with this change, we aim to prevent the device components from working at maximum capacity, which could lead to the system closing the game.
- The difficulty of level 1 has been rebalanced, now the animatronics will be slightly faster, and it takes a bit longer to recharge the batteries.
- Several optimizations have been made to the levels.
- Texture colors have been corrected, including those of the golden animatronics.
- Some spelling mistakes have been fixed.
- Chica's animations have been fixed; now there should be no sudden changes, and she should not pass through the ground at certain moments.
- Chica's hitbox has been fixed; now she will be stationary for better comfort.
- A bug that caused Freddy and Foxy to appear in the same location has been fixed.
- A bug that allowed you to keep shining the light on Chica without using battery has been fixed.
- A bug that caused interface buttons to duplicate on certain devices has been fixed. (We believe so...)
- Chica's position has been corrected. She should now appear correctly.
NOTE: If you want to appear in the supporters section, all you need to do is make a donation, even if it's just 1€ on Ko-Fi. By doing that, you will appear on the list, and depending on the amount you donate, your name will be placed higher on the list.",,,"- Se ha añadido una opción en Android para activar los 60 FPS, queremos advertir que esta opción podría provocar crasheos en ciertos dispositivos.
- Se ha añadido a los donantes de Ko-Fi en los créditos (Muchas gracias a Momo por el apoyo <3).
- Se ha limitado el juego a 30 FPS en Android de forma predeterminada, esto es debido a que ciertos crasheos son provocados por el alto consumo que requiere el juego, con este cambio intentamos impedir que los componentes del dispositivo trabajen a máxima potencia y puedan provocar que el sistema cierre el juego.
- Se ha re-balanceado la dificultad del nivel 1, ahora los animatronicos serán un poco más rápidos y se tarda un poco más en recargar las baterías.
- Se han hecho varias optimizaciones en los niveles.
- Se han corregido colores de texturas, entre ellas la de los animatronicos dorados.
- Se han arreglado algunas faltas de ortografía.
- Se han arreglado las animaciones de Chica, ahora ya no debería dar cambios repentinos ni atravesar en ciertos momentos el suelo.
- Se ha arreglado la hitbox de Chica, ahora estará estática en el sitio para una mejor comodidad.
- Se ha arreglado un bug que provocaba que Freddy y Foxy pudieran aparecer en el mismo sitio.
- Se ha arreglado un bug que provocaba que pudieras seguir iluminando a Chica sin tener batería.
- Se ha arreglado un bug que provocaba que los botones de la interfaz se duplicaran en ciertos dispositivos. (Eso creemos...)
- Se ha arreglado la posición de Chica. Ahora ya debería aparecer correctamente.
NOTA: Quien quiera aparecer en la sección de donantes simplemente tenéis que hacer una donación, ya sea de 1€, en Ko-Fi, haciendo eso apareceréis en la lista, eso sí, dependiendo la cantidad que donéis, aparecería más arriba de la lista."
"v0.3.7/Title",11121890537472,"v0.3.7","v0.3.7","v0.3.7","v0.3.7"
"v0.3.7/Desc",11124943990784,"- Several optimizations have been made, reducing GPU usage by 10-15%. These values have been obtained using some test phones.
- Fixed a bug that caused Foxy's jumpscare not to appear when the player is on the PC of level 1, which was causing the entire game to freeze.
- Fixed a bug that prevented Freddy's jumpscare from being activated.",,,"- Hecho varias optimizaciones, se ha reducido el uso de la GPU entre un 10-15%. Estos valores los hemos obtenido con algunos teléfonos de prueba.
- Arreglado bug que provocaba que el jumpscare de Foxy no apareciera cuando el jugador está en el PC del nivel 1 y este provocara que se bloqueara todo el juego.
- Arreglado bug que provocaba que el jumpscare de Freddy no se activase."
"v0.3.8/Title",11127460573184,"v0.3.8","v0.3.8","v0.3.8","v0.3.8"
"v0.3.8/Desc",11129977155584,"- A small waiting time has been added between Freddy and Foxy's sounds in level 1.
- Cinematics have been re-imported to address sudden quality drops.
- Animatronic shadows have been optimized.
- Descriptions of some achievements have been changed.
- The flashlight recharge time in level 2 has been slightly reduced.
- Fixed an issue causing Freddy to continue the countdown to attack while Foxy performs his animation.
- Fixed an error causing poor sound quality when using headphones.",,,"- Se ha añadido un pequeño tiempo de espera entre el sonido de Freddy y Foxy en el nivel 1.
- Hemos reimportado las cinemáticas para intentar solucionar las bajadas de calidad repentinas.
- Se han optimizado las sombras de los animatronicos.
- Se han cambiado las descripciones de algunos logros.
- Se ha reducido un poco el tiempo de recarga de la linterna en el nivel 2.
- Se ha arreglado un error que provocaba que Freddy siguiera haciendo la cuenta atrás para atacar mientras Foxy hace su animación.
- Se ha arreglado un error que provocaba una mala calidad en los sonidos al usar auriculares."
"v0.3.9/Title",11942963294208,"v0.3.9","v0.3.9","v0.3.9","v0.3.9"
"v0.3.9/Desc",11945978998784,"- Updated donor list in the credits. Many thanks to ItsFunnyDog, Eros, Meyer Veloso, and Alfredo.
- Added a teaser for level 4.
- Added an option to enable or disable 3D sound. (Some sounds, like those in level 3, are not in 3D due to the severe rework planned for level 3).
- Massive code optimization.
- Game size optimization.
- Optimized GPU consumption when starting a cinematic.
- Improved jumpscares for Freddy and Springtrap.
- Phantom Mangle will now give 3 sound warnings before attacking the player, with each sound at a specific volume depending on the distance.
- Increased battery time in level 3.
- Increased Foxy's animation speed when searching the office.
- Reduced wait time for Springtrap's jumpscare.
- Partially improved randomness for all enemies.
- Increased the ""hitbox"" for turning the fan on/off.
- Increased Chica's ""hitbox"".
- An error that was causing random pixel aberrations in the cinematics has been fixed.
- Fixed a bug causing button disappearance when rapidly rotating the camera in level 2.
- Fixed a bug allowing Foxy and Freddy to appear in the same location.
- Fixed a bug causing the door health to continue decreasing during Foxy's animation.
- Fixed a bug causing the bite poster to disappear.
- Fixed a spelling error in an achievement.
- Fixed the texture of the golden cake in level 2.
- Fixed Freddy and Foxy sounds, preventing them from overlapping.",,,"- Actualizado lista de donadores en los créditos. Muchas gracias a ItsFunnyDog, Eros, Meyer Veloso y Alfredo.
- Añadido ""teaser"" del nivel 4.
- Añadida opción para activar o desactivar el sonido en 3D. (Hay algunos sonidos como los del nivel 3 que no están en 3D, esto es debido a que el nivel 3 sufrirá un severo rework).
- Optimización masiva de código.
- Optimización del tamaño del juego.
- Optimizado consume de GPU al iniciar una cinemática.
- Se han mejorado los jumpscares de Freddy y Sprigntrap.
- Ahora Phantom Mangle dará 3 avisos de sonido antes de atacar al jugador, cada sonido estará a un volumen determinado dependiendo la distancia con él.
- Se ha aumentado el tiempo de la batería en el nivel 3.
- Se ha aumentado la velocidad de la animación de Foxy al buscar en la oficina.
- Se ha reducido el tiempo de espera para el jumpscare de Springtrap.
- Se ha mejorado parcialmente la aleatoriedad de todos los enemigos.
- Se ha aumentado la ""hitbox"" para apagar/encender el ventilador.
- Se ha aumentado la ""hitbox"" de Chica.
- Se ha arreglado un error que provocaba aleatoriamente aberraciones pixeladas en las cinemáticas.
- Se ha arreglado un error que provocaba la desaparición de los botones al girar rápidamente la cámara en el nivel 2.
- Se ha arreglado un error que provocaba que Foxy y Freddy pudieran aparecer en el mismo lugar.
- Se ha arreglado un error que provocaba que la salud de la puerta siguiera bajando durante la animación de Foxy.
- Se ha arreglado un error que provocaba que el póster de la mordida desapareciera.
- Se ha arreglado una falta de ortografía de un logro.
- Se ha arreglado la textura de la tarta dorada del nivel 2.
- Se han arreglado los sonidos de Freddy y Foxy. Ahora ya no se tendría que solapar entre ellos."
"v0.3.10/Title",11948302643200,"v0.3.10","v0.3.10","v0.3.10","v0.3.10"
"v0.3.10/Desc",11950689202176,"- Subtitles have been added to the final cinematic.
- The text in the version has been partially changed; now the ""beta"" tag will be present until the game is released.
- The name of Mangle Clone has been changed to Phantom Mangle.
- The animation transition for both Mangle and Phantom Mangle has been improved.
- The effect of Mangle approaching the player has been enhanced.
- Random enemy spawns in level 1 have been eliminated (they will now consistently appear at specific time intervals).
- The battery charging speed in level 1 has been increased.
- The attack range of Phantom Mangle has been slightly extended.
- Freddy's laughter volume has been increased.
- The sound volume of Springtrap being electrocuted in level 1 has been reduced.
- The flashlight recharge time in level 2 has been adjusted.
- The spawn times for level 1 and 2 have been adjusted.
- The attack times for level 1 and 2 have been adjusted.
- Phantom Mangle will now not give its first warning until the player progresses.
- Animation positions in level 2 have been corrected.",,,"- Se han agregado subtitulos a la cinematica final.
- Se ha cambiado parcialmente el texto de la versión, ahora estará la etiqueta ""beta"" al final asta la salida del juego.
- Se ha cambiado el nombre de Clon de Mangle a Phantom Mangle.
- Se ha mejorado la transicion de animaciones de Mangle y Phantom Mangle.
- Se ha mejorado el efecto de Mangle al acercarse al jugador.
- Se ha eliminado la aleatoriedad de aparecer un enemigo en el nivel 1 (Ahora siempre apareceran con cierto margen de tiempo).
- Se ha aumentado la velocidad de carga de las baterias del nivel 1.
- Se ha aumentado ligeramente la distancia en la que ataca Phantom Mangle.
- Se ha aumentado el volumen de la risa de Freddy.
- Se ha reducido el volumen del sonido que hace Springtrap al ser electrocutado en el nivel 1.
- Se ha ajustado el tiempo de recarga de la linterna del nivel 2.
- Se han ajustado los tiempos de aparicion del nivel 1 y 2.
- Se han ajustado los tiempos de ataque del nivel 1 y 2.
- Ahora Phantom Mangle no hara su primer aviso asta que el jugador avance.
- Se han corregido posiciones de las animaciones en el nivel 2."
"v0.4/Title",11953340002304,"v0.4 (The Level 4)",,,"v0.4 (El Nivel 4)"
"v0.4/Desc",11955453931520,"- Added level 4 (Currently, it does not have an Easter Egg).
- Added cinematic for level 4.
- Added 3 new achievements. (In the next update, we will add 3 more).
- Organized translation tables.
- Now in level 3, Cupcakes will start moving when you shine light on them.
- Optimized some scripts and models.
NOTE: Keep in mind that level 4 may be a bit unbalanced and may be missing some elements (such as the tutorial). As we release patches, we will balance, fix, and add what is missing to the level.",,,"- Añadido nivel 4 (Por ahora no tiene Easter Egg).
- Añadida cinemática del nivel 4.
- Añadido 3 nuevos logros. (En la próxima actualización añadiremos 3 más).
- Organizadas tablas de traducciones.
- Ahora en el nivel 3 los Cupcakes se empezarán a mover cuando los alumbres.
- Se han optimizado algunos scripts y modelos.
NOTA: Tened en cuenta que el nivel 4 puede estar un poco desbalanceado y faltar algunas cosas (Por ejemplo el tutorial), conforme vayamos sacando parches iremos balanceando, arreglando y añadiendo lo que le falta al nivel."
"v0.4.1/Title",11957303619584,"v0.4.1 (Hot Fix)",,,"v0.4.1 (Arreglos)"
"v0.4.1/Desc",12673401335808,"- Optimized Chica's animations.
- Optimized Foxy's animations.
- Optimized code.
- Increased the time it takes for Foxy to appear.
- Increased the time Chica takes to open the door.
- Modified the timing of the static video to prevent it from freezing.
- Started giving names to the updates.
- Fixed a bug that did not trigger Chica's animation when attempting to repair the door in its first phase.
- Fixed a bug that allowed repairing the door right at the moment of animation change, causing Chica to stop functioning completely.
- Fixed the positions of the animatronics.
- Fixed Foxy's animations, which could appear in incorrect positions.
- Fixed a bug that caused the UI to disappear in certain parts.
- Fixed a bug that caused certain texts to stop rendering.
- Fixed a bug that prevented the red lights from turning on or off at the right moment.
- Fixed some audio issues that could sound incorrect or not play at all.",,,"- Optimizadas animaciones de Chica.
- Optimizadas animaciones de Foxy.
- Optimizado código.
- Se ha aumentado el tiempo que tarda Foxy en aparecer.
- Se ha aumentado el tiempo que Chica tarda en abrir la puerta.
- Se ha modificado el tiempo del video de la estática para evitar que esta quede congelada.
- Empezando a ponerle nombres a las actualizaciones.
- Arreglado bug, el cual no activaba la animación de Chica al intentar reparar la puerta en su primera fase.
- Arreglado bug, el cual permitía arreglar la puerta justo en el momento de cambiar de animación, esto provocaba que Chica dejara de funcionar completamente.
- Arreglado las posiciones de los animatronicos.
- Arreglado las animaciones de Foxy las cuales podían salir en posiciones incorrectas.
- Arreglado bug, el cual provocaba en ciertas partes que el UI desapareciera.
- Arreglado bug, el cual provocaba que ciertos textos dejaran de renderizarse.
- Arreglado bug que provocaba que las luces rojas no se apagaran o encendieran al momento.
- Arreglado algunos audios, los cuales podían sonar mal o directamente no sonar."
